# G = 0.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
4.0,3.5,2.026933808544989,0.9105386249515992,0.16103576592015442,-0.22984610248034754
4.0,4.0,2.0274901979088464,0.8767749717258755,0.1698163510266318,-0.13261884629523346
4.0,4.5,1.501866547336867,0.8992264973387659,0.16306072253011422,-0.026267020000581176
4.0,5.0,1.889868353888061,0.9323972972723508,0.16116291687023238,0.08694314599034134
4.0,5.5,1.9662951680403566,0.963432553945962,0.1359423867470378,0.19779213959289077
4.0,6.0,1.9847530094809038,0.9721969409925681,0.14233092697872576,0.3302796145215206
4.0,6.5,1.9849690069376422,0.8986538043770222,0.21597256216328395,0.4329608635338108
4.0,7.0,1.9930656118817567,0.9646393058140068,0.17897679340338193,0.5511180440571359
4.0,7.5,1.9917661793299954,0.9773209423547469,0.17781989928887731,0.6613955643658119
4.0,8.0,1.9939968489073747,0.9718174832748419,0.21202572872704795,0.7837006345461399
