# Ps Pf beta Deff
3.75 0.5 1.030472139099933 1.7460981286134207
3.75 1.0 1.0200731350686976 0.3439522575191957
3.75 1.5 0.9959288758430926 0.21183313013843919
3.75 2.0 1.0180984629499792 0.17942313911933494
3.75 2.5 0.960063021123726 0.32911967428450123
3.75 3.0 0.957284550930097 0.4370704726164476
3.75 3.5 0.9734487429762909 0.46869109406456533
3.75 4.0 1.0035429118333445 0.4587547856709179
3.75 4.5 1.0189258261863663 0.5093920601270435
3.75 5.0 1.0619905520901134 0.4487088709282444
3.75 5.5 1.0011232266682297 0.8608258262818695
3.75 6.0 1.0362874676321634 0.7686769353577689
3.75 6.5 1.01463178287632 1.0482892337094747
3.75 7.0 1.0091811098439927 1.255497467082663
3.75 7.5 1.0331500875699362 1.2541730881231696
3.75 8.0 0.9811547290059119 2.1125235369986193
4.00 0.5 0.9927586857855549 2.6211947528963506
4.00 1.0 1.0267983787054908 0.33974606782788025
4.00 1.5 0.9938986190470165 0.2090755925992362
4.00 2.0 1.0495830967398718 0.1326717294991337
4.00 2.5 0.9728141435437617 0.2793686314424874
4.00 3.0 1.0344502885179647 0.21419781950554667
4.00 3.5 1.0201947022686073 0.2976456091843909
4.00 4.0 1.0027002748958818 0.42252342048859504
4.00 4.5 1.0301938185000001 0.40840816968892746
4.00 5.0 0.991816424940155 0.6586461770169755
4.00 5.5 0.9842803411563261 0.8198346823846787
4.00 6.0 1.0021948154445328 0.9042243012296582
4.00 6.5 0.9999527202031523 1.0727948455052445
4.00 7.0 1.0056076530106846 1.206234918586143
4.00 7.5 0.9877592238992954 1.5922812826045465
4.00 8.0 0.9884495606406432 1.8017684854169018
