# Ps Pf alpha
3.75 3.0 1.9998017428742187
3.75 3.5 2.0007080692800305
3.75 4.0 2.000850923838953
3.75 4.5 2.000838485559458
3.75 5.0 2.0025743347706046
3.75 5.5 1.997715808482787
3.75 6.0 1.993180515333148
3.75 6.5 1.7399248790724375
3.75 7.0 2.0015726006265493
3.75 7.5 1.999923012941531
3.75 8.0 1.9996259177033266
4.00 0.5 1.9975412555613168
4.00 1.0 1.9998787577580686
4.00 1.5 1.9998952233773506
4.00 2.0 2.0000348701679163
4.00 2.5 2.00001984738757
4.00 3.0 2.0003033809491773
4.00 3.5 2.000033230046044
4.00 4.0 1.9990334022356469
4.00 4.5 2.0005190636415486
4.00 5.0 1.9997564413919922
4.00 5.5 1.9977072907376314
4.00 6.0 1.9977791522365587
4.00 6.5 1.9936343570468904
4.00 7.0 1.3522085289762702
4.00 7.5 1.9907118947211557
4.00 8.0 2.0043608500360968
